canonical_name,join_name,draft_season,colleges,pff_player_id,final_grades_grades_pass,final_grades_grades_offense,final_grades_accuracy_percent,final_grades_btt_rate,final_grades_twp_rate,final_grades_ypa,final_grades_avg_depth_of_target,final_grades_avg_time_to_throw,final_grades_completion_percent,final_grades_sack_percent,final_grades_pressure_to_sack_rate,final_grades_positive_epa_percent,final_grades_epa,final_grades_dropbacks,final_grades_qb_rating,career_grades_grades_pass,career_grades_grades_offense,career_grades_accuracy_percent,career_grades_btt_rate,career_grades_twp_rate,career_grades_ypa,career_grades_avg_depth_of_target,career_grades_avg_time_to_throw,career_grades_completion_percent,career_grades_sack_percent,career_grades_pressure_to_sack_rate,career_grades_positive_epa_percent,career_grades_epa,career_grades_dropbacks,career_grades_qb_rating,final_pressure_pressure_accuracy_percent,final_pressure_pressure_grades_pass,final_pressure_pressure_twp_rate,final_pressure_pressure_sack_percent,final_pressure_no_pressure_accuracy_percent,final_pressure_no_pressure_grades_pass,final_pressure_blitz_accuracy_percent,final_pressure_blitz_grades_pass,final_depth_deep_attempts_percent,final_depth_deep_accuracy_percent,final_depth_deep_btt_rate,final_depth_deep_ypa,final_depth_medium_accuracy_percent,final_depth_short_accuracy_percent,final_average_ppa_pass,career_average_ppa_pass,combine_height,combine_weight,combine_forty,combine_vertical,combine_broad,combine_three_cone,combine_short_shuttle,combine_ras_score,combine_bmi,cfbd_ppa_pass_delta,college_seasons_count,college_career_dropbacks_total,college_seasons_150plus_dropbacks,traj_delta_grades_grades_pass,traj_delta_grades_ypa,traj_delta_grades_twp_rate,traj_delta_grades_accuracy_percent,pick,round,log_pick,day
Tom Flacco,tom flacco,2020,Towson;Western Michigan,46503.0,,,,,,,,,,,,,,,,65.78,81.58,72.19333333333333,7.193333333333333,6.673333333333334,13.78,7.92,2.529333333333333,72.19333333333333,0.0,0.0,59.973333333333336,0.4619999999999999,11.533333333333331,132.24666666666667,,,,,,,,,,,,,,,0.047,-0.0102499999999999,,,,,,,,,,0.0572499999999999,3,15.0,0.0,,,,,,,,
Tommy Hays,tommy hays,2017,Austin Peay,46504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673,0.673,,,,,,,,,,0.0,1,0.0,0.0,,,,,,,,
Sawyer Smith,sawyer smith,2020,Kentucky;Troy,46505.0,29.2,29.7,50.8,3.8,13.0,5.5,12.7,2.71,45.2,6.5,21.4,35.3,-0.27,139.0,56.6,57.73140096618357,53.47415458937198,65.87729468599034,4.814492753623188,5.550724637681159,6.629227053140097,10.578019323671498,2.4246135265700484,57.14323671497584,4.611111111111111,19.520772946859903,39.62004830917875,-0.0257971014492753,193.8309178743961,80.54082125603865,32.1,26.5,17.0,21.4,56.5,40.7,51.1,41.3,23.8,23.3,15.2,7.3,29.0,69.2,0.049,0.1793333333333333,,,,,,,,,,-0.1303333333333333,3,414.0,1.0,-43.39999999999999,-1.7000000000000002,11.4,-22.0,,,,
James Knapke,james knapke,2017,Bowling Green,46506.0,42.7,43.2,59.5,2.4,6.8,5.3,9.2,2.29,49.6,6.3,27.6,30.5,-0.55,128.0,42.6,58.728046989720994,56.988252569750365,66.8906020558003,4.793979441997063,4.324816446402349,6.420411160058736,9.722173274596182,2.408825256975037,56.79118942731278,3.683994126284876,16.437004405286345,38.75301027900147,-0.240704845814978,440.30690161527167,72.74111600587372,47.6,30.2,12.9,24.1,62.1,51.0,55.6,35.4,18.5,13.6,12.5,6.9,40.7,76.6,-0.123,0.1266666666666666,,,,,,,,,,-0.2496666666666666,3,681.0,1.0,-20.699999999999996,-3.3999999999999995,6.8,-14.200000000000003,,,,
Maty Mauk,maty mauk,2017,Eastern Kentucky;Missouri,46507.0,,,,,,,,,,,,,,,,62.76896551724138,66.29655172413794,65.38275862068966,6.031034482758621,4.741379310344827,6.19655172413793,10.66551724137931,3.0796551724137933,52.66896551724138,4.403448275862068,13.0,41.03448275862069,-0.0575862068965517,409.13793103448273,77.98965517241379,,,,,,,,,,,,,,,0.098,0.133,,,,,,,,,,-0.035,3,609.0,1.0,,,,,,,,
David Blough,david blough,2019,Purdue,46508.0,73.9,73.0,73.5,4.2,2.7,8.0,8.0,2.56,65.9,5.7,19.6,45.3,0.07,512.0,99.2,63.284778540237056,63.017592014971925,70.78284466625078,3.936369307548347,3.93686837180287,6.802807236431691,8.562694946974423,2.57585152838428,60.790393013100434,5.634872114784779,17.826450405489705,42.29288833437305,-0.0645477230193387,458.605739238927,84.52208359326264,60.4,29.9,6.7,19.6,76.9,90.6,59.8,60.3,14.1,43.1,25.0,15.8,59.7,78.2,0.282,0.1267499999999999,,,,,,,,,,0.15525000000000008,4,1603.0,4.0,3.1000000000000085,1.0999999999999996,0.20000000000000018,-5.599999999999994,,,,
Tyler Swafford,tyler swafford,2017,Eastern Kentucky,46509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.868,0.868,,,,,,,,,,0.0,1,0.0,0.0,,,,,,,,
Grant Rohach,grant rohach,2017,Buffalo;Iowa State,46510.0,52.5,45.4,61.0,3.4,5.5,7.5,11.1,2.64,54.8,11.3,30.8,39.6,-0.17,106.0,76.9,49.87005988023952,46.67844311377245,59.39281437125749,2.7790419161676643,6.303592814371258,6.623353293413173,10.11377245508982,2.661916167664671,53.3754491017964,9.583233532934132,28.681437125748506,38.32155688622755,-0.2540119760479042,89.562874251497,74.48922155688624,42.9,46.2,2.5,30.8,67.2,57.7,50.0,47.1,17.9,40.0,18.8,8.3,50.0,73.5,0.182,-0.0055,,,,,,,,,,0.1875,2,167.0,0.0,7.200000000000003,2.4000000000000004,-2.2,4.399999999999999,,,,
Tyrrell Pigrome,tyrrell pigrome,2021,Maryland;Western Kentucky,46511.0,59.8,62.5,68.4,3.2,2.9,5.4,9.2,2.9,57.7,5.9,24.1,38.9,-0.06,339.0,79.9,57.18297258297259,59.99206349206349,67.64617604617605,4.479076479076479,3.388888888888889,5.9812409812409815,9.291486291486292,2.9092352092352094,56.709812409812415,7.952236652236653,25.77723935389134,36.35252525252525,-0.1691774891774891,224.5613275613276,75.23593073593074,56.1,32.7,5.8,24.1,70.5,69.2,69.8,55.6,13.4,30.0,14.9,7.3,53.8,80.3,0.059,0.2029999999999999,,,,,,,,,,-0.1439999999999999,5,693.0,1.0,2.5,-0.6999999999999993,0.2999999999999998,2.0,,,,
Chris Carter,chris carter,2017,Army,46512.0,57.3,62.8,45.0,8.3,3.6,7.7,16.8,2.96,39.1,11.1,21.4,33.3,0.03,27.0,77.4,68.39999999999999,63.75,55.0,13.65,9.2,12.15,17.700000000000003,2.875,50.5,12.95,30.7,38.1,0.2,27.0,87.65,25.0,34.0,7.1,21.4,58.3,80.1,33.3,37.2,39.1,33.3,20.0,11.9,20.0,83.3,0.26,0.5865,,,,,,,,,,-0.3265,2,54.0,0.0,-22.200000000000003,-8.900000000000002,-11.200000000000001,-20.0,,,,
Malcolm Perry,malcolm perry,2020,Navy,46513.0,64.6,89.4,66.7,9.6,5.1,12.2,16.8,3.51,53.9,10.7,20.0,45.6,0.29,149.0,109.9,61.73556701030928,86.88144329896907,62.40670103092784,8.784536082474226,5.3860824742268045,11.246907216494844,16.943814432989694,3.536237113402062,50.61134020618556,11.82319587628866,22.400515463917525,43.2639175257732,0.1968041237113401,121.82474226804123,102.42577319587627,51.6,45.4,7.3,20.0,76.0,79.8,65.9,71.3,42.7,47.4,23.1,16.7,62.5,95.7,0.459,0.385,,,,,,,,,,0.07400000000000001,3,194.0,0.0,6.499999999999993,2.8999999999999986,0.09999999999999964,18.900000000000006,,,,
Tago Smith,tago smith,2017,Navy,46514.0,78.1,74.8,100.0,100.0,0.0,45.0,18.0,2.67,100.0,66.7,66.7,33.3,-0.46,3.0,118.8,52.9,61.6,77.80000000000001,33.333333333333336,19.06666666666667,21.666666666666668,17.533333333333335,3.1100000000000003,77.80000000000001,22.23333333333333,22.23333333333333,33.3,-0.0733333333333333,5.0,105.8,100.0,78.1,0.0,66.7,,,100.0,78.1,0.0,,,,100.0,,0.021,0.1686666666666666,,,,,,,,,,-0.1476666666666666,3,9.0,0.0,37.8,35.0,-28.6,33.3,,,,
John O'Korn,john okorn,2018,Houston;Michigan,46515.0,66.9,61.7,67.1,5.5,3.4,6.1,8.8,2.91,53.5,11.4,28.9,34.7,-0.29,193.0,60.2,56.93356481481482,53.70300925925926,64.58333333333333,3.954398148148148,3.9611111111111112,5.72824074074074,8.92175925925926,2.8025462962962964,53.34699074074074,7.876851851851852,21.42569444444444,34.724074074074075,-0.2893518518518518,179.43055555555554,63.53680555555556,62.2,63.3,2.5,28.9,69.2,67.6,78.8,80.2,14.6,34.8,21.4,7.3,46.9,74.6,0.025,0.0696666666666666,,,,,,,,,,-0.0446666666666666,3,432.0,2.0,11.700000000000003,1.0,1.1999999999999997,-4.800000000000011,,,,
Shane Morris,shane morris,2018,Central Michigan;Michigan,46516.0,62.8,62.7,68.5,6.1,5.6,7.2,9.4,2.26,56.3,5.1,17.4,38.3,-0.12,491.0,83.4,60.96586715867159,60.338929889298896,66.49280442804428,5.729704797047971,5.607749077490775,6.877121771217713,9.663837638376384,2.30549815498155,54.71088560885609,5.171771217712177,18.248044692737427,37.46254612546126,-0.1769926199261992,448.7490774907749,77.64243542435425,56.9,55.1,8.4,16.7,72.2,66.1,61.4,47.4,17.3,47.4,28.4,12.4,53.5,75.0,0.194,0.1943333333333333,,,,,,,,,,-0.0003333333333332966,3,542.0,1.0,-4.5,-1.7999999999999998,5.6,-11.5,,,,
Logan Woodside,logan woodside,2018,Toledo,46517.0,83.4,82.5,75.6,5.5,3.7,9.4,11.1,2.48,64.2,5.3,17.6,49.3,0.21,456.0,109.3,82.72839506172839,80.11407407407408,75.05111111111111,5.765185185185185,3.38,9.147407407407409,9.86938271604938,2.427111111111111,65.59185185185186,3.874320987654321,14.600740740740742,50.02469135802469,0.2685185185185185,415.7111111111111,112.7935802469136,66.7,64.1,4.0,17.6,78.2,88.5,80.6,89.4,19.6,51.9,17.4,15.9,72.6,84.8,0.436,0.4856666666666666,73.0,213.0,4.79,31.5,103.0,6.94,4.15,,28.098892850440983,-0.04966666666666658,3,1215.0,3.0,-3.1999999999999886,-0.5,0.8000000000000003,-1.3000000000000114,249.0,7.0,5.517452896464707,3.0
Baker Mayfield,baker mayfield,2018,Oklahoma,46518.0,94.4,94.5,80.6,7.3,3.1,11.4,11.2,2.96,70.4,5.6,20.3,55.8,0.48,462.0,137.5,93.42189349112424,93.28742603550296,79.14260355029586,6.234023668639053,2.537573964497041,10.52810650887574,10.14215976331361,2.960118343195266,69.49349112426036,6.056065088757396,20.001775147929,53.92455621301775,0.3946597633136094,453.0591715976331,130.44171597633138,68.8,74.9,3.1,20.3,83.5,95.5,76.9,91.3,19.2,60.3,30.2,20.3,74.8,88.9,0.66,0.6206666666666667,73.0,215.0,4.84,29.0,111.0,7.0,4.28,,28.36273221992869,0.03933333333333333,3,1352.0,3.0,-0.19999999999998863,0.40000000000000036,0.8000000000000003,0.7999999999999972,1.0,1.0,0.0,1.0
Stephon Masha,stephon masha,2017,Liberty,46520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.284,-0.294,,,,,,,,,,0.010000000000000009,2,0.0,0.0,,,,,,,,
Zach Bednarczyk,zach bednarczyk,2017,Villanova,46522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414,0.3685,,,,,,,,,,0.045499999999999985,1,0.0,0.0,,,,,,,,
Dallas Sealey,dallas sealey,2017,Abilene Christian,46523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.084,0.1753333333333333,,,,,,,,,,-0.2593333333333333,2,0.0,0.0,,,,,,,,
Nate Romine,nate romine,2018,Air Force,46524.0,33.2,38.9,56.3,5.9,21.7,8.3,15.2,3.01,56.3,18.2,44.4,40.9,-0.36,22.0,57.6,57.798989898989895,52.780808080808086,49.27373737373737,7.569696969696969,6.6909090909090905,9.785858585858586,14.525252525252526,2.787676767676768,43.8979797979798,8.087878787878788,22.04646464646465,34.87676767676768,-0.0934343434343434,85.47474747474747,85.0,25.0,27.6,22.2,44.4,66.7,49.5,80.0,64.5,25.0,25.0,25.0,7.3,62.5,66.7,0.168,0.2815,,,,,,,,,,-0.11349999999999996,4,198.0,0.0,-32.099999999999994,-2.8999999999999986,17.9,8.699999999999996,,,,
K.J. Carta-Samuels,kj carta-samuels,2019,Colorado State;Washington,46525.0,78.0,76.3,68.9,4.1,3.4,7.5,11.1,2.65,61.3,5.2,14.0,45.8,0.03,330.0,93.1,73.9578811369509,72.88733850129199,68.78811369509044,3.75297157622739,3.656072351421189,7.356072351421189,10.687596899224808,2.665142118863049,60.686821705426354,5.470542635658915,15.058397932816538,46.29250645994832,0.0160723514211886,284.86046511627904,90.69974160206718,55.4,51.6,3.9,14.0,74.5,90.0,64.7,77.7,17.0,45.1,19.0,13.1,64.1,77.2,0.357,0.33075,,,,,,,,,,0.026249999999999996,4,387.0,1.0,29.700000000000003,-0.6999999999999993,-4.9,-11.099999999999994,,,,
Houston Hartz,houston hartz,2017,Murray State,46527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Ryan Stanley,ryan stanley,2020,Florida A&M,46530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.102,-0.1263333333333333,,,,,,,,,,0.024333333333333304,2,0.0,0.0,,,,,,,,
Billy Bahl,billy bahl,2018,Miami (OH),46531.0,63.2,64.4,63.4,1.6,3.1,6.9,12.9,2.38,52.5,3.2,12.9,45.6,0.0,125.0,74.6,54.3669758812616,54.70074211502783,60.468460111317256,4.156029684601114,5.493877551020407,7.369387755102041,12.878664192949907,2.6582189239332097,49.51725417439703,8.162708719851578,25.795361781076068,39.519294990723566,-0.1928756957328385,195.834879406308,70.40964749536177,52.2,51.1,6.1,12.9,66.3,67.7,71.4,70.1,22.5,37.0,6.7,10.6,51.4,83.8,0.216,0.17,,,,,,,,,,0.045999999999999985,3,539.0,2.0,8.200000000000003,-2.1999999999999993,-2.1999999999999997,-0.3999999999999986,,,,
Greg Windham,greg windham,2017,Ohio,46533.0,75.0,75.4,65.6,5.6,3.1,6.4,10.5,2.6,54.2,2.8,8.3,41.1,-0.05,326.0,78.3,70.23133159268929,70.5668407310705,65.66501305483028,5.036031331592689,4.144386422976501,6.508616187989556,10.430026109660574,2.582375979112272,54.55822454308095,2.9010443864229765,8.789430894308943,41.24699738903394,-0.0815143603133159,282.822454308094,75.84386422976502,55.6,51.0,4.2,8.3,69.2,84.9,57.3,64.7,16.2,41.7,27.1,10.4,55.1,76.5,0.204,0.0933333333333333,,,,,,,,,,0.11066666666666669,3,383.0,1.0,34.4,-1.0,-8.0,3.0999999999999943,,,,
Tyler Jones,tyler jones,2017,Texas State,46534.0,57.4,55.9,74.0,1.4,5.1,6.2,5.7,2.68,63.1,8.7,24.0,40.9,-0.22,403.0,74.3,63.67993553585817,61.741015310233685,74.50644641418211,2.075261885576148,4.222159548751007,6.605157131345689,6.915471394037065,2.534818694601128,62.15463336019339,6.269057211925866,19.57703464947623,43.195890410958896,-0.0984528605962933,413.8041901692184,83.48356164383561,64.6,41.1,8.0,24.0,77.2,67.6,75.5,50.3,6.6,39.1,12.0,12.8,53.4,71.8,0.051,0.1483333333333333,,,,,,,,,,-0.0973333333333333,3,1241.0,3.0,-9.199999999999996,-0.2999999999999998,0.5,-0.7000000000000028,,,,
Taylor Cornelius,taylor cornelius,2019,Oklahoma State,46535.0,69.6,77.1,68.8,4.4,4.0,8.2,12.4,2.75,59.3,5.5,18.6,47.2,0.19,544.0,96.4,69.52041522491349,76.75190311418683,68.85328719723182,4.141176470588236,3.764705882352941,8.222837370242214,12.318166089965398,2.7623010380622834,59.3993079584775,5.867647058823529,19.19567474048443,47.01885813148789,0.1994117647058823,512.6816608996539,95.81816608996542,57.7,38.2,7.6,18.6,72.1,82.3,68.7,65.7,24.1,41.0,13.3,12.0,61.8,82.3,0.34,0.2065,,,,,,,,,,0.13350000000000004,4,578.0,1.0,-5.6000000000000085,-6.600000000000001,4.0,8.799999999999997,,,,
D'Shaie Landor,dshaie landor,2017,SE Louisiana,46536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.297,-0.297,,,,,,,,,,0.0,1,0.0,0.0,,,,,,,,
Justin Alo,justin alo,2017,SE Louisiana,46537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,-0.119,,,,,,,,,,0.147,2,0.0,0.0,,,,,,,,
Brandon Harris,brandon harris,2018,LSU;North Carolina,46538.0,41.8,53.8,62.7,2.7,8.0,4.9,11.7,2.73,49.3,8.2,22.6,38.8,-0.48,85.0,28.6,62.1845665961945,67.05771670190275,64.55412262156447,7.101479915433404,5.239323467230443,7.310359408033827,11.497040169133191,2.8289852008456657,52.43890063424947,6.345031712473572,18.98139534883721,40.62198731501057,-0.0116279069767441,224.2938689217759,74.29873150105709,66.7,72.6,3.2,22.6,61.2,29.6,54.5,46.6,19.7,21.4,12.5,3.4,58.8,73.9,-0.029,0.162,,,,,,,,,,-0.191,4,473.0,1.0,-1.4000000000000057,-0.6999999999999993,1.0999999999999996,4.400000000000006,,,,
Kurt Benkert,kurt benkert,2018,East Carolina;Virginia,46540.0,58.7,56.8,71.0,4.5,5.0,6.3,8.8,2.55,58.3,5.6,22.2,39.0,-0.13,572.0,85.1,60.33238095238095,58.879619047619045,68.92819047619048,4.67047619047619,4.460761904761905,6.249904761904761,9.532761904761909,2.5556761904761904,57.26095238095238,5.802285714285714,22.07942857142857,40.55923809523809,-0.1129142857142857,518.5561904761905,82.40590476190476,57.1,28.8,11.8,22.2,73.9,71.8,68.8,55.5,14.9,32.9,22.6,10.2,54.2,78.5,0.104,0.0349999999999999,75.0,218.0,4.95,31.0,112.0,7.15,4.33,,27.24515555555556,0.06900000000000009,3,1050.0,2.0,-4.0,0.09999999999999964,1.2999999999999998,4.900000000000006,,,,
John Kolar,john kolar,2017,Oklahoma State,46541.0,54.5,58.0,50.0,0.0,0.0,4.0,2.0,2.2,50.0,0.0,,50.0,-0.64,2.0,60.4,54.5,58.0,50.0,0.0,0.0,4.0,2.0,2.2,50.0,0.0,,50.0,-0.64,2.0,60.4,,,,,50.0,54.5,50.0,54.5,0.0,,,,,50.0,,,,,,,,,,,,,1,2.0,0.0,,,,,,,,
Austin Allen,austin allen,2018,Arkansas,46542.0,70.4,67.7,71.5,4.0,3.0,7.4,10.7,3.01,55.6,8.4,19.4,40.9,0.02,225.0,86.0,73.98373751783167,72.98288159771755,69.158059914408,5.031954350927247,4.064764621968616,8.174893009985736,10.225962910128388,2.926162624821683,58.68701854493582,7.698858773181169,16.899570200573066,44.086305278174045,0.0838231098430813,365.5392296718973,90.01497860199716,46.6,42.8,3.8,18.4,85.0,89.3,74.4,67.8,18.5,45.7,18.9,14.3,57.6,84.2,0.331,0.4535,72.0,210.0,4.81,29.5,112.0,7.18,4.48,,28.47800925925926,-0.1225,4,701.0,2.0,-5.599999999999994,-1.0999999999999996,-1.7999999999999998,2.700000000000003,,,,
Dakota Prukop,dakota prukop,2017,Montana State;Oregon,46543.0,80.2,82.1,75.4,6.7,4.6,8.5,10.7,2.7,65.7,6.5,16.7,45.8,0.23,168.0,105.1,80.2,82.1,75.4,6.700000000000001,4.6,8.5,10.7,2.7,65.7,6.5,16.7,45.8,0.23,168.0,105.1,73.0,87.4,4.4,16.7,76.3,71.1,70.6,75.9,19.6,46.4,23.3,15.5,71.9,83.7,0.419,0.1169999999999999,,,,,,,,,,0.3020000000000001,2,168.0,1.0,,,,,,,,
Ben Scott,ben scott,2017,UC Davis,46544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201,0.2645,,,,,,,,,,-0.0635,2,0.0,0.0,,,,,,,,
Greyson Lambert,greyson lambert,2017,Georgia;Virginia,46545.0,67.9,69.7,80.0,0.0,6.3,4.7,6.2,3.08,58.3,20.0,42.9,33.3,-0.24,15.0,70.1,71.60383275261326,70.82073170731708,70.9939024390244,3.798606271777004,4.497212543554007,6.843728222996516,8.29459930313589,2.583414634146341,60.93292682926829,4.856620209059233,15.876655052264809,42.31498257839721,-0.1228919860627177,272.588850174216,85.12020905923345,100.0,66.2,0.0,42.9,75.0,66.0,80.0,67.1,0.0,,,,100.0,71.4,0.004,0.1913333333333333,,,,,,,,,,-0.1873333333333333,3,574.0,2.0,-5.599999999999994,-2.8999999999999995,2.5,8.0,,,,
Blake Dever,blake dever,2021,N Alabama;Savannah St,46546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.159,-0.159,,,,,,,,,,0.0,3,0.0,0.0,,,,,,,,
Jason Driskel,jason driskel,2018,Florida Atlantic,46547.0,65.7,72.0,73.9,3.7,3.4,8.0,7.7,2.25,66.4,2.0,11.3,43.5,0.18,301.0,102.8,62.89824561403509,67.53649122807018,70.9782456140351,3.9368421052631577,3.936023391812865,7.415906432748538,8.627602339181287,2.4022222222222225,60.7987134502924,4.546549707602339,16.96479532163743,42.74350877192982,-0.02753216374269,313.753216374269,84.78187134502924,59.0,56.7,4.9,11.3,76.4,67.8,74.2,68.0,15.4,32.6,18.8,13.4,57.4,79.8,0.348,0.1899999999999999,,,,,,,,,,0.15800000000000008,3,855.0,3.0,1.4000000000000057,0.5999999999999996,-1.4,0.5,,,,
Malcolm Bell,malcolm bell,2017,North Carolina Central,46548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,-0.131,,,,,,,,,,0.128,3,0.0,0.0,,,,,,,,
T.J. Bell,tj bell,2017,Savannah St,46549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.802,-0.3796666666666666,,,,,,,,,,-0.42233333333333345,1,0.0,0.0,,,,,,,,
Malik Rosier,malik rosier,2019,Miami,46550.0,48.8,59.4,60.5,3.1,6.7,6.6,11.0,2.77,51.6,5.3,15.9,38.8,-0.14,188.0,64.3,62.05006765899865,66.15561569688768,64.05683355886333,4.476048714479026,4.703112313937754,7.135859269282814,10.591880920162382,2.5697970230040594,52.82029769959405,5.530175913396482,19.78186738836265,39.613531799729365,-0.0857780784844384,367.7794316644114,77.22909336941814,34.3,35.8,6.1,15.9,68.8,57.9,57.5,55.4,22.0,34.3,11.1,11.3,40.0,68.5,0.17,0.25025,,,,,,,,,,-0.08024999999999996,4,739.0,2.0,-16.299999999999997,-0.9000000000000004,2.7,-4.400000000000006,,,,
Kenneth Coleman,kenneth coleman,2017,Florida A&M,46551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.676,0.2955,,,,,,,,,,0.38050000000000006,2,0.0,0.0,,,,,,,,
Evan Shirreffs,evan shirreffs,2020,Charlotte;Miami,46552.0,50.3,61.3,0.0,0.0,0.0,0.0,19.5,2.15,0.0,0.0,,0.0,-1.08,2.0,39.6,62.36028368794327,62.92553191489362,59.78936170212766,4.273758865248226,4.087943262411348,5.797872340425531,11.51276595744681,2.793404255319149,49.84184397163121,10.650354609929076,30.00143884892087,34.06312056737588,-0.2186524822695035,122.19148936170212,59.4822695035461,,,,,0.0,50.3,,,50.0,0.0,0.0,0.0,0.0,,-0.655,-0.348,,,,,,,,,,-0.30700000000000005,3,141.0,0.0,-12.700000000000003,-6.1,-4.4,-61.3,,,,
Leon Prunty,leon prunty,2017,Savannah St,46553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.443,-0.436,,,,,,,,,,-0.007000000000000006,2,0.0,0.0,,,,,,,,
Favian Upshaw,favian upshaw,2017,Georgia Southern,46554.0,55.9,55.2,63.5,5.6,4.6,7.3,10.7,2.84,54.8,4.8,12.5,48.1,0.25,104.0,84.1,55.97422680412371,64.85979381443299,65.41134020618556,6.375257731958762,6.173195876288659,7.06701030927835,11.653608247422682,2.96639175257732,52.82886597938144,4.639175257731959,12.597938144329897,46.91443298969073,0.0864948453608247,78.37113402061856,68.43298969072166,47.4,32.2,9.8,12.5,69.1,69.6,51.5,53.1,17.9,40.0,27.8,13.0,42.9,76.9,0.321,0.256,,,,,,,,,,0.065,3,194.0,0.0,15.199999999999996,2.5999999999999996,-6.200000000000001,1.0,,,,
Kevin Ellison,kevin ellison,2017,Georgia Southern,46555.0,52.9,60.6,74.2,4.5,7.4,8.2,10.5,2.39,62.3,4.3,13.2,47.0,0.23,115.0,101.6,62.294459833795024,68.202216066482,66.64986149584487,6.974238227146814,5.433795013850415,7.628808864265928,12.269529085872575,2.6393628808864267,54.624653739612185,4.435180055401662,13.665373961218837,43.21994459833795,0.0613573407202216,123.91412742382272,82.66980609418282,66.7,51.5,9.8,10.5,76.7,55.2,71.0,68.5,24.5,46.2,17.2,12.0,70.6,82.4,0.391,0.1823333333333333,,,,,,,,,,0.20866666666666672,3,361.0,0.0,-11.500000000000007,1.4999999999999991,0.9000000000000004,18.6,,,,
Stephen Calvert,stephen calvert,2020,Liberty,46556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.197,,,,,,,,,,0.195,2,0.0,0.0,,,,,,,,
Reid Herring,reid herring,2020,East Carolina,46557.0,68.5,70.3,75.0,12.5,0.0,9.3,15.9,2.62,62.5,0.0,0.0,55.6,0.35,9.0,92.7,57.33814102564103,57.36089743589744,63.36794871794872,3.488141025641025,3.968589743589743,5.752884615384615,10.59903846153846,2.3273076923076923,53.90865384615385,2.9038461538461537,8.51794871794872,39.77115384615384,-0.1618589743589744,292.5833333333333,63.58141025641025,0.0,48.5,0.0,0.0,85.7,75.5,50.0,43.3,25.0,100.0,50.0,18.5,33.3,100.0,0.449,1.4356666666666664,,,,,,,,,,-0.9866666666666664,3,312.0,1.0,11.600000000000001,3.700000000000001,-4.1,12.100000000000001,,,,
Wes Holcombe,wes holcombe,2017,Western Carolina,46558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.632,-0.3,,,,,,,,,,-0.332,2,0.0,0.0,,,,,,,,
Tra'Von Chapman,travon chapman,2018,Akron,46559.0,48.5,63.9,0.0,0.0,0.0,0.0,14.0,4.4,0.0,0.0,,0.0,-1.77,1.0,39.6,45.7406779661017,47.715254237288136,54.293785310734464,4.309604519774011,8.585310734463276,5.5423728813559325,13.964406779661015,2.599265536723164,40.88531073446328,6.236158192090395,27.808522727272727,31.638418079096045,-0.3080790960451977,112.46892655367232,57.10734463276836,,,,,0.0,48.5,,,0.0,,,,0.0,,0.365,0.0593333333333333,,,,,,,,,,0.3056666666666667,3,177.0,0.0,3.799999999999997,-5.9,-9.1,-56.0,,,,
Dane Evans,dane evans,2017,Tulsa,46560.0,70.1,71.3,68.8,4.5,3.0,7.6,11.4,2.18,59.2,5.1,29.6,46.7,0.12,471.0,96.1,72.95106934543098,72.64309786130914,69.17355800388853,5.297926117952041,4.376539209332469,7.69799092676604,11.106804925469865,2.3387556707712247,58.94335709656514,5.722942320155541,26.3800388852884,44.500129617628,0.0438626053143227,516.6772521062865,91.44232015554115,52.8,65.7,2.3,27.2,71.1,70.0,67.4,75.4,19.1,39.3,18.8,12.6,57.1,81.0,0.341,0.2873333333333334,,,,,,,,,,0.05366666666666664,3,1543.0,3.0,-17.10000000000001,-1.200000000000001,-1.5,-2.799999999999997,,,,
